year,mon,day,prcp,tmax,tmin,wspd,rhum,rsds
2011,3,12,5.614526085,13.69884654,1.86345797,5.162853398,0.801902951,1.414312863
2011,3,13,0,7.842151714,0.390205258,5.530698107,0.475093732,19.59487461
2011,3,14,0,9.46026598,1.03101981,3.24828724,0.496847878,17.75689394
2011,3,15,0,10.11048586,1.661011305,2.2,0.460070464,19.43168766
2011,3,16,4.549500089,13.31044692,2.782281878,1.8,0.65952835,9.069145516
2011,3,17,0,15.56692814,5.656902304,2.151076333,0.720890558,5.552477835
2011,3,18,0,18.57470025,6.667704545,1.9,0.434195341,14.71139822
2011,3,19,15.70754398,18.11777796,10.36165168,2.3,0.403305452,5.27415738
2011,3,20,4.544846416,17.08028989,4.140848091,2.524861442,0.820721149,2.452480191
2011,3,21,0,10.07108896,-0.113976995,4.913540041,0.709506724,16.56791735
2011,3,22,0,5.350917038,-0.48939643,4.657125471,0.629961916,20.54037269
2011,3,23,0,10.3,0.161339847,3.241236702,0.435881589,21.72014996
2011,3,24,0,13.52761111,3.827976696,2,0.542691831,17.78095035
2011,3,25,0,15.46098953,6.067263642,1.8,0.430458704,19.47350126
2011,3,26,0,16.9118567,3.333729581,4.265401463,0.49999654,14.79279704
2011,3,27,0,9.032259761,-0.089309766,5.184148496,0.766825943,18.50937687
2011,3,28,0,9.562292979,0.987654113,2.728135044,0.359740381,14.44601623
2011,3,29,0,11.39064916,2.705378766,1.528573855,0.415309588,16.97970126
2011,3,30,0,12.21204542,3.730763486,1.9,0.380722081,6.106877147
2011,3,31,0,13.70342217,3.787806044,2.9,0.282757837,16.20651805
2011,4,1,0,11.02300631,3.938196214,2.3,0.405521309,17.80021604
2011,4,2,0,9.103725347,2.037831503,3.906844076,0.552737662,22.74296839
2011,4,3,0,9.242050489,2.619031606,3.748937371,0.459916514,23.37224995
2011,4,4,0,12.94658456,3.810613774,3,0.335712921,23.3073378
2011,4,5,0,20.62295993,8.238068549,5.848885094,0.386995759,19.91764278
2011,4,6,0,21.13374794,5.355369619,3.772150865,0.420385913,19.73659064
2011,4,7,0,12.46761466,5.412053182,2.8,0.49068767,20.5573841
2011,4,8,0.1,11.06958531,4.334491048,2.8,0.793922535,9.06310012
2011,4,9,3.020251223,11.68550165,4.465640587,3.1,0.933265218,5.70130761
2011,4,10,1.898603924,11.42289127,2.917549128,2.6,0.80922331,9.180913578
2011,4,11,0,9.233405167,3.119876022,2.151614535,0.842978547,12.56082387
2011,4,12,0,10.91766506,4.531309265,1.9,0.790810045,10.41529438
2011,4,13,0,12.97392881,6.379025147,1.8,0.62756949,8.91152006
2011,4,14,58.75525388,14.76407211,5.959591203,4.129921469,0.772260356,3.094730232
2011,4,15,20.38740833,15.20204786,4.6,3.7,0.941184751,5.970626491
2011,4,16,0,11.57862969,4.301093269,2.545846203,0.590181582,20.490629
2011,4,17,0,17.61786268,7.5,2.3,0.275963777,23.31303185
2011,4,18,0,19.32863153,7.262999614,3.515882754,0.533404794,18.83603894
2011,4,19,0,18.51379085,7.995839788,2.1,0.526558824,18.41738725
2011,4,20,0,22.62136475,9.580782871,2.3,0.59383671,20.79109141
2011,4,21,0,17.3155598,7.802181433,3.1,0.436389373,19.88651874
2011,4,22,0,20.70855678,9.93926474,2.6,0.282945262,23.99248936
2011,4,23,3.401916342,21.15803276,12.04636327,4.242302533,0.673798454,12.74806648
2011,4,24,0,17.72633883,6.664631811,4.225785571,0.37669817,13.72813286
2011,4,25,0.1,14.93100888,7.48680734,5.686700714,0.614613891,25.66901559
2011,4,26,0,20.93486747,8.755771444,5.578027463,0.325,25.43166721
2011,4,27,0,29.00943576,12.22241517,5.94311798,0.181416246,21.8830128
2011,4,28,0,21.63018347,12.34385752,3.2,0.332210948,24.72181258
2011,4,29,0,28.05925303,14.22063229,2.9,0.200072832,19.62048061
2011,4,30,36.08079103,20.5380325,9.076380096,3.679116282,0.735013199,6.905032021
2011,5,1,0.3,12.60662164,7.37749517,2.5,0.646761252,7.46046705
2011,5,2,0,15.00171815,7.811591549,2.20288622,0.590956475,25.9600575
2011,5,3,0.538963777,14.58849163,9.457264509,0.859460516,0.665544204,17.42590982
2011,5,4,0,15.34895651,8.872157574,0.834414698,0.799545056,12.5322627
2011,5,5,0,19.64758414,11.22427478,1.7,0.686786967,21.68293853
2011,5,6,0,20.74577505,12.22795756,3,0.500560265,14.02357061
2011,5,7,0.532144323,20.79877372,11.6804554,6.045080017,0.727311547,3.114161118
2011,5,8,0,25.1580934,11.27190363,4.871851355,0.316582759,20.93662517
2011,5,9,0,25.68680309,12.68361884,4.387788502,0.207199954,24.50963204
2011,5,10,0,30.37842424,15.11693721,5.445150227,0.36645545,21.82286642
2011,5,11,0,19.76709439,10.85265772,1.293435763,0.54147619,23.62452038
2011,5,12,85.02572988,21.33149714,14.15841668,2.4,0.497093428,12.31165888
2011,5,13,0.536463282,22.10618838,12.66277912,1.116312355,0.884003622,7.463050826
2011,5,14,0,23.2029275,13.95029706,2.5,0.533917526,12.14852015
2011,5,15,0,23.13725635,14.30277285,1.8,0.432799916,24.54495159
2011,5,16,0,24.47294105,14,1.50994714,0.495956163,16.05537694
2011,5,17,0,25.27847847,15.34503734,1.731794029,0.415934878,24.41335098
2011,5,18,0,25.74607699,15.79592414,2.4,0.438631729,23.66225903
2011,5,19,0,23.79219387,13.87483789,1.6,0.544756664,20.79684389
2011,5,20,0,20.78677729,12.66494041,1.10100158,0.775845096,6.357974946
2011,5,21,0,21.30051604,13.2,1.5,0.725220044,25.46285656
2011,5,22,0,25.51255539,14.39611412,1.763529469,0.534819588,26.706884
2011,5,23,0,23.72692231,14.4535997,1.276797756,0.684358583,14.05388913
2011,5,24,0.10256102,24.51181152,16.7606641,0.697826789,0.766063429,21.38978115
2011,5,25,3.107045615,27.70429076,17.2513945,1.9,0.72101579,22.54240439
2011,5,26,1,25.65485641,15.86322593,3.279212519,0.709978958,14.15806474
2011,5,27,0,30.53831094,18.38496101,2.963801296,0.433449575,24.60753985
2011,5,28,0,34.63101873,22.01237157,4.581718828,0.363597338,16.15607033
2011,5,29,4.184543093,28.79333832,19.62225264,2.642358963,0.794556973,3.469763958
2011,5,30,0,28.57904337,19.77066816,1.105504749,0.734562265,23.80949705
2011,5,31,0,30.89436627,21.49772511,0.782629887,0.628649043,28.16532594
2011,6,1,0,28.67113653,18,2.1,0.406331847,19.62071166
2011,6,2,0,28.90426767,16.83643526,1.9,0.325040459,13.05928503
2011,6,3,0.429248477,23.17983905,16,0.9,0.624829613,8.982786407
2011,6,4,0,22.65618357,15.8,0.9,0.86024063,21.16794558
2011,6,5,0,23.25143246,16.2,1.3,0.820161806,23.54412196
2011,6,6,0,23.63302534,16.20086401,1.2,0.883220416,26.6111008
2011,6,7,0,23.82475036,17.29143828,0.7,0.8926875,24.82170152
2011,6,8,0,27.62808221,17.78129814,1.3,0.677828643,15.09995104
2011,6,9,0,28.6098939,18,1.7,0.685179081,15.38952047
2011,6,10,27.41661677,26.50327353,18.2877511,2.204388356,0.839296872,7.923163493
2011,6,11,80.05938386,26.57291204,19.86502288,4.089166733,0.807093333,5.22945647
2011,6,12,1.29499902,29.43886895,17.6,3.356096373,0.482491381,27.62997273
2011,6,13,0,27.15973713,18.75150784,2.751284426,0.336489914,30.22696734
2011,6,14,0,30.38330332,20.71966402,2.580864933,0.436055702,23.92461758
2011,6,15,0,30.95565209,20.69788307,2,0.482316747,22.13755308
2011,6,16,0,28.40489158,18.5,0.7,0.811372515,20.24303001
2011,6,17,0,28.3867663,20.4013061,0.8,0.794447436,19.93100703
2011,6,18,0,29.68129036,22.10202333,1.907646963,0.576092073,6.633301499
2011,6,19,1.106644068,29.44219055,22.37026073,2.3,0.52558861,5.602133103
2011,6,20,7.834823448,31.62413547,24.42705986,3.299601992,0.809989656,2.179839046
2011,6,21,3.974672365,33.50919003,22.9073896,2.6,0.895051654,4.968193331
2011,6,22,12.7536262,26.83028814,20.50172652,1.1,0.928659517,2.168017311
2011,6,23,7,23.80196033,16.96877609,2.946566181,0.799551144,3.18751367
2011,6,24,0,24.09107529,16.25972297,1.6,0.67712694,28.0049785
2011,6,25,0,26.36304007,16.8,1.8,0.646152789,28.99505642
2011,6,26,0,26.80931369,17.14341647,1.1,0.713093249,27.80806473
2011,6,27,0,27.60971822,19.89538179,0.779133496,0.711447904,22.90244704
2011,6,28,0,30.11335784,21.76792171,1.214190342,0.672307536,17.65226103
2011,6,29,0,34.79964227,23.87086077,1.6,0.474810854,18.88290547
2011,6,30,0,34.86301317,23.90199665,1.1,0.522676302,19.58724438
2011,7,1,136.8157703,29.61757539,22.99238734,4.276752142,0.733195988,5.62137414
2011,7,2,0,36.21044629,20.6063063,4.048282545,0.612341111,8.844210441
2011,7,3,28.13949639,27.24013538,18.38085029,1.2,0.890310923,6.659479827
2011,7,4,0,28.14990829,18.5024932,0.8,0.842511143,19.71503836
2011,7,5,5.824041393,27.96854627,20.2,0.73949223,0.863171589,19.06304383
2011,7,6,24.63912265,24.93181628,20.62377547,1.1,0.965482626,6.21088929
2011,7,7,35.31592816,24.10135532,21.63955194,1.190933617,0.954700167,2.514555282
2011,7,8,1,27.66961252,23.0617611,1,0.85148473,3.741661875
2011,7,9,0.1,29.40061626,22.1671777,0.7,0.849349524,19.03562457
