ID,YMD,SGG_CD,FW,POWER
58150,2022-10-01,11170,-999.0,-999.0
58151,2022-10-01,11215,146.62,130353390.72
58152,2022-10-01,11230,4.41,3920736.96
58153,2022-10-01,11350,-999.0,-999.0
58154,2022-10-01,11470,3.8,3378412.8
58155,2022-10-01,11530,0.98,871274.88
58156,2022-10-01,11590,-999.0,-999.0
58157,2022-10-01,11680,0.64,568995.8400000001
58158,2022-10-01,11710,8.07,7174681.92
58159,2022-10-01,26260,0.0,0.0
58160,2022-10-01,26320,173.34,154108967.04000002
58161,2022-10-01,27140,16.09,14304911.04
58162,2022-10-01,27230,0.33,293388.48000000004
58163,2022-10-01,27260,26.89,23906715.84
58164,2022-10-01,27710,802.16,713165160.9599999
58165,2022-10-01,28245,-999.0,-999.0
58166,2022-10-01,28260,-999.0,-999.0
58167,2022-10-01,29110,0.76,675682.56
58168,2022-10-01,29140,0.69,613448.6399999999
58169,2022-10-01,29170,4.74,4214125.44
58170,2022-10-01,29200,13.47,11975584.320000002
58171,2022-10-01,30110,0.14,124467.84000000004
58172,2022-10-01,30140,0.78,693463.68
58173,2022-10-01,30170,0.81,720135.3600000001
58174,2022-10-01,30200,0.29,257826.24
58175,2022-10-01,30230,15.07,13398073.919999998
58176,2022-10-01,31110,4.03,3582895.6800000006
58177,2022-10-01,31140,7.14,6347859.840000001
58178,2022-10-01,31200,128.42,114172571.52
58179,2022-10-01,31710,2.19,1947032.64
58180,2022-10-01,36110,-999.0,-999.0
58181,2022-10-01,41135,3.75,3333959.9999999995
58182,2022-10-01,41150,1.27,1129101.1200000003
58183,2022-10-01,41171,1.22,1084648.32
58184,2022-10-01,41190,-999.0,-999.0
58185,2022-10-01,41210,3.96,3520661.76
58186,2022-10-01,41220,20.62,18332334.72
58187,2022-10-01,41250,1.61,1431380.16
58188,2022-10-01,41281,811.73,721673426.88
58189,2022-10-01,41310,4.81,4276359.359999999
58190,2022-10-01,41360,188.18,167302558.08
58191,2022-10-01,41370,6.19,5503256.640000001
58192,2022-10-01,41461,5.2,4623091.2
58193,2022-10-01,41480,0.0,0.0
58194,2022-10-01,41500,0.0,0.0
58195,2022-10-01,41550,0.92,817931.5200000001
58196,2022-10-01,41570,-999.0,-999.0
58197,2022-10-01,41590,2.21,1964813.76
58198,2022-10-01,41610,-999.0,-999.0
58199,2022-10-01,41650,16.3,14491612.8
58200,2022-10-01,41650,5.78,5138743.68
58201,2022-10-01,41670,-999.0,-999.0
58202,2022-10-01,41800,-999.0,-999.0
58203,2022-10-01,41820,-999.0,-999.0
58204,2022-10-01,41830,-999.0,-999.0
58205,2022-10-01,42110,120.45,107086795.2
58206,2022-10-01,42130,79.8,70946668.80000001
58207,2022-10-01,42150,2.69,2391560.64
58208,2022-10-01,42170,5.01,4454170.56
58209,2022-10-01,42190,0.4,355622.4
58210,2022-10-01,42190,0.5,444528.00000000006
58211,2022-10-01,42230,0.0,0.0
58212,2022-10-01,42230,1.91,1698096.96
58213,2022-10-01,42230,-999.0,-999.0
58214,2022-10-01,42720,-999.0,-999.0
58215,2022-10-01,42730,1.59,1413599.0400000005
58216,2022-10-01,42730,6.94,6170048.6400000015
58217,2022-10-01,42750,1.03,915727.68
58218,2022-10-01,42760,-999.0,-999.0
58219,2022-10-01,42760,5.2,4623091.2
58220,2022-10-01,42760,-999.0,-999.0
58221,2022-10-01,42770,-999.0,-999.0
58222,2022-10-01,42780,0.0,0.0
58223,2022-10-01,42790,0.0,0.0
58224,2022-10-01,42790,-999.0,-999.0
58225,2022-10-01,42800,-999.0,-999.0
58226,2022-10-01,42800,-999.0,-999.0
58227,2022-10-01,42810,0.0,0.0
58228,2022-10-01,42830,6.58,5849988.48
58229,2022-10-01,43111,0.0,0.0
58230,2022-10-01,43112,0.0,0.0
58231,2022-10-01,43113,25.36,22546460.16
58232,2022-10-01,43114,9.5,8446031.999999998
58233,2022-10-01,43130,70.19,62402840.64
58234,2022-10-01,43150,0.0,0.0
58235,2022-10-01,43150,-999.0,-999.0
58236,2022-10-01,43720,1.99,1769221.4400000002
58237,2022-10-01,43730,21.3,18936892.8
58238,2022-10-01,43730,1.9,1689206.3999999997
58239,2022-10-01,43730,0.48,426746.87999999983
58240,2022-10-01,43740,18.27,16243053.12
58241,2022-10-01,43740,1.56,1386927.36
58242,2022-10-01,43745,2.4,2133734.4
58243,2022-10-01,43750,-999.0,-999.0
58244,2022-10-01,43760,6.35,5645505.6
58245,2022-10-01,43770,-999.0,-999.0
58246,2022-10-01,43800,-999.0,-999.0
58247,2022-10-01,44131,1.1,977961.6
58248,2022-10-01,44131,0.0,0.0
58249,2022-10-01,44131,0.16,142248.96000000002
58250,2022-10-01,44150,-999.0,-999.0
58251,2022-10-01,44180,0.1,88905.6
58252,2022-10-01,44180,0.09,80015.04
58253,2022-10-01,44200,15.39,13682571.84
58254,2022-10-01,44230,105.89,94142139.84
