ID,YMD,SGG_CD,FW,POWER
6604,2022-02-01,11170,-999.0,-999.0
6605,2022-02-01,11215,136.94,121747328.64
6606,2022-02-01,11230,2.78,2471575.68
6607,2022-02-01,11350,-999.0,-999.0
6608,2022-02-01,11470,3.06,2720511.36
6609,2022-02-01,11530,0.58,515652.4799999999
6610,2022-02-01,11590,-999.0,-999.0
6611,2022-02-01,11680,0.32,284497.92000000004
6612,2022-02-01,11710,4.96,4409717.76
6613,2022-02-01,26260,0.0,0.0
6614,2022-02-01,26320,72.77,64696605.120000005
6615,2022-02-01,27140,7.41,6587904.960000001
6616,2022-02-01,27230,0.29,257826.24
6617,2022-02-01,27260,13.62,12108942.72
6618,2022-02-01,27710,2.09,1858127.04
6619,2022-02-01,28245,-999.0,-999.0
6620,2022-02-01,28260,-999.0,-999.0
6621,2022-02-01,29110,0.58,515652.4799999999
6622,2022-02-01,29140,0.7,622339.2000000001
6623,2022-02-01,29170,2.84,2524919.04
6624,2022-02-01,29200,11.36,10099676.16
6625,2022-02-01,30110,0.06,53343.35999999998
6626,2022-02-01,30140,0.59,524543.0399999999
6627,2022-02-01,30170,-999.0,-999.0
6628,2022-02-01,30200,0.55,488980.8000000001
6629,2022-02-01,30230,13.91,12366768.96
6630,2022-02-01,31110,0.47,417856.32
6631,2022-02-01,31140,4.81,4276359.359999999
6632,2022-02-01,31200,134.88,119915873.28
6633,2022-02-01,31710,1.42,1262459.52
6634,2022-02-01,36110,-999.0,-999.0
6635,2022-02-01,41135,0.37,328950.72
6636,2022-02-01,41150,0.63,560105.28
6637,2022-02-01,41171,0.56,497871.3600000002
6638,2022-02-01,41190,-999.0,-999.0
6639,2022-02-01,41210,2.73,2427122.88
6640,2022-02-01,41220,7.07,6285625.92
6641,2022-02-01,41250,1.45,1289131.2
6642,2022-02-01,41281,620.62,551765934.72
6643,2022-02-01,41310,2.34,2080391.04
6644,2022-02-01,41360,135.52,120484869.12000002
6645,2022-02-01,41370,1.83,1626972.48
6646,2022-02-01,41461,0.82,729025.9199999998
6647,2022-02-01,41480,-999.0,-999.0
6648,2022-02-01,41500,-999.0,-999.0
6649,2022-02-01,41550,0.22,195592.32
6650,2022-02-01,41570,-999.0,-999.0
6651,2022-02-01,41590,2.25,2000376.0
6652,2022-02-01,41610,-999.0,-999.0
6653,2022-02-01,41650,6.3,5601052.800000001
6654,2022-02-01,41650,-999.0,-999.0
6655,2022-02-01,41670,-999.0,-999.0
6656,2022-02-01,41800,-999.0,-999.0
6657,2022-02-01,41820,-999.0,-999.0
6658,2022-02-01,41830,-999.0,-999.0
6659,2022-02-01,42110,73.94,65736800.64
6660,2022-02-01,42130,89.51,79579402.56
6661,2022-02-01,42150,-999.0,-999.0
6662,2022-02-01,42170,2.07,1840345.92
6663,2022-02-01,42190,0.0,0.0
6664,2022-02-01,42190,0.0,0.0
6665,2022-02-01,42230,0.0,0.0
6666,2022-02-01,42230,0.29,257826.24
6667,2022-02-01,42230,6.84,6081143.04
6668,2022-02-01,42720,-999.0,-999.0
6669,2022-02-01,42730,-999.0,-999.0
6670,2022-02-01,42730,1.2,1066867.2
6671,2022-02-01,42750,-999.0,-999.0
6672,2022-02-01,42760,-999.0,-999.0
6673,2022-02-01,42760,2.06,1831455.36
6674,2022-02-01,42760,-999.0,-999.0
6675,2022-02-01,42770,-999.0,-999.0
6676,2022-02-01,42780,0.0,0.0
6677,2022-02-01,42790,0.0,0.0
6678,2022-02-01,42790,-999.0,-999.0
6679,2022-02-01,42800,-999.0,-999.0
6680,2022-02-01,42800,-999.0,-999.0
6681,2022-02-01,42810,0.0,0.0
6682,2022-02-01,42830,0.05,44452.8
6683,2022-02-01,43111,0.0,0.0
6684,2022-02-01,43112,0.0,0.0
6685,2022-02-01,43113,29.35,26093793.6
6686,2022-02-01,43114,4.63,4116329.2800000007
6687,2022-02-01,43130,81.97,72875920.32000001
6688,2022-02-01,43150,0.0,0.0
6689,2022-02-01,43150,-999.0,-999.0
6690,2022-02-01,43720,0.87,773478.7199999999
6691,2022-02-01,43730,11.6,10313049.6
6692,2022-02-01,43730,1.6,1422489.6
6693,2022-02-01,43730,0.76,675682.56
6694,2022-02-01,43740,10.97,9752944.319999998
6695,2022-02-01,43740,0.48,426746.87999999983
6696,2022-02-01,43745,0.54,480090.2400000001
6697,2022-02-01,43750,-999.0,-999.0
6698,2022-02-01,43760,2.33,2071500.48
6699,2022-02-01,43770,-999.0,-999.0
6700,2022-02-01,43800,0.0,0.0
6701,2022-02-01,44131,0.62,551214.72
6702,2022-02-01,44131,0.29,257826.24
6703,2022-02-01,44131,0.18,160030.08
6704,2022-02-01,44150,-999.0,-999.0
6705,2022-02-01,44180,13.94,12393440.64
6706,2022-02-01,44180,0.36,320060.16
6707,2022-02-01,44200,25.78,22919863.68
6708,2022-02-01,44230,77.46,68866277.75999998
6709,2022-02-01,44250,0.14,124467.84000000004
6710,2022-02-01,44270,-999.0,-999.0
6711,2022-02-01,44710,9.25,8223768.000000001
6712,2022-02-01,44710,0.22,195592.32
6713,2022-02-01,44760,-999.0,-999.0
6714,2022-02-01,44770,-999.0,-999.0
6715,2022-02-01,44790,-999.0,-999.0
6716,2022-02-01,44800,0.34,302279.04000000004
6717,2022-02-01,44810,7.56,6721263.36
6718,2022-02-01,44810,36.82,32735041.92
6719,2022-02-01,45111,0.34,302279.04000000004
6720,2022-02-01,45113,4.69,4169672.6400000006
6721,2022-02-01,45130,-999.0,-999.0
6722,2022-02-01,45140,0.03,26671.67999999999
6723,2022-02-01,45180,2.97,2640496.3200000003
6724,2022-02-01,45180,0.0,0.0
6725,2022-02-01,45190,7.78,6916855.680000001
6726,2022-02-01,45190,4.85,4311921.6
6727,2022-02-01,45210,0.0,0.0
6728,2022-02-01,45210,0.0,0.0
6729,2022-02-01,45710,1.23,1093538.88
6730,2022-02-01,45720,7.85,6979089.600000001
6731,2022-02-01,45720,0.0,0.0
6732,2022-02-01,45730,8.18,7272478.08
6733,2022-02-01,45730,0.84,746807.0400000002
6734,2022-02-01,45740,0.1,88905.6
6735,2022-02-01,45740,-999.0,-999.0
6736,2022-02-01,45740,-999.0,-999.0
6737,2022-02-01,45750,4.25,3778488.0
6738,2022-02-01,45750,0.18,160030.08
6739,2022-02-01,45770,6.47,5752192.319999998
6740,2022-02-01,45770,1.01,897946.56
6741,2022-02-01,45790,1.37,1218006.72
6742,2022-02-01,45800,0.0,0.0
6743,2022-02-01,46150,13.2,11735539.2
6744,2022-02-01,46150,0.48,426746.87999999983
6745,2022-02-01,46150,-999.0,-999.0
6746,2022-02-01,46150,0.28,248935.6800000001
6747,2022-02-01,46170,0.0,0.0
6748,2022-02-01,46230,0.0,0.0
6749,2022-02-01,46230,0.01,8890.560000000001
6750,2022-02-01,46230,0.9,800150.3999999999
6751,2022-02-01,46230,-999.0,-999.0
6752,2022-02-01,46710,0.33,293388.48000000004
6753,2022-02-01,46720,9.77,8686077.120000001
6754,2022-02-01,46730,17.47,15531808.319999997
6755,2022-02-01,46780,0.2,177811.2
6756,2022-02-01,46790,0.49,435637.44
6757,2022-02-01,46800,0.06,53343.35999999998
6758,2022-02-01,46810,2.67,2373779.52
6759,2022-02-01,46830,0.0,0.0
6760,2022-02-01,46840,0.0,0.0
6761,2022-02-01,46860,0.28,248935.6800000001
6762,2022-02-01,46870,0.0,0.0
6763,2022-02-01,46880,1.8,1600300.7999999998
6764,2022-02-01,47111,27.9,24804662.4
6765,2022-02-01,47113,-999.0,-999.0
6766,2022-02-01,47130,3.5,3111696.0
6767,2022-02-01,47150,1.7,1511395.2
6768,2022-02-01,47170,0.0,0.0
6769,2022-02-01,47190,74.73,66439154.88
6770,2022-02-01,47210,7.57,6730153.92
6771,2022-02-01,47230,4.32,3840721.92
6772,2022-02-01,47250,48.05,42719140.8
6773,2022-02-01,47280,217.74,193583053.44000003
6774,2022-02-01,47290,2.42,2151515.52
6775,2022-02-01,47290,25.94,23062112.64
6776,2022-02-01,47720,1.12,995742.7200000004
6777,2022-02-01,47730,27.85,24760209.6
6778,2022-02-01,47750,0.0,0.0
6779,2022-02-01,47750,0.0,0.0
6780,2022-02-01,47760,0.0,0.0
6781,2022-02-01,47770,1.02,906837.12
6782,2022-02-01,47770,0.11,97796.16
6783,2022-02-01,47820,0.0,0.0
6784,2022-02-01,47820,0.0,0.0
6785,2022-02-01,47830,0.71,631229.76
6786,2022-02-01,47830,0.0,0.0
6787,2022-02-01,47840,48.13,42790265.28
6788,2022-02-01,47840,0.0,0.0
6789,2022-02-01,47850,56.84,50533943.04
6790,2022-02-01,47900,32.59,28974335.040000003
6791,2022-02-01,47920,-999.0,-999.0
6792,2022-02-01,47920,2.41,2142624.9600000004
6793,2022-02-01,47930,101.41,90159168.95999998
6794,2022-02-01,48121,676.24,601215229.44
6795,2022-02-01,48170,8.34,7414727.039999999
6796,2022-02-01,48250,0.0,0.0
6797,2022-02-01,48250,1066.52,948196005.12
6798,2022-02-01,48250,0.0,0.0
6799,2022-02-01,48270,185.69,165088808.64
6800,2022-02-01,48310,0.0,0.0
6801,2022-02-01,48330,48.03,42701359.68000001
