ID,YMD,SGG_CD,FW,POWER
25561,2022-05-01,11170,-999.0,-999.0
25562,2022-05-01,11215,131.41,116830848.96
25563,2022-05-01,11230,2.99,2658277.44
25564,2022-05-01,11350,-999.0,-999.0
25565,2022-05-01,11470,3.01,2676058.56
25566,2022-05-01,11530,0.46,408965.76000000007
25567,2022-05-01,11590,-999.0,-999.0
25568,2022-05-01,11680,0.34,302279.04000000004
25569,2022-05-01,11710,5.52,4907589.119999999
25570,2022-05-01,26260,0.0,0.0
25571,2022-05-01,26320,83.08,73862772.47999999
25572,2022-05-01,27140,19.33,17185452.48
25573,2022-05-01,27230,0.06,53343.35999999998
25574,2022-05-01,27260,15.17,13486979.52
25575,2022-05-01,27710,822.03,730830703.6800001
25576,2022-05-01,28245,-999.0,-999.0
25577,2022-05-01,28260,-999.0,-999.0
25578,2022-05-01,29110,0.46,408965.76000000007
25579,2022-05-01,29140,0.42,373403.5200000001
25580,2022-05-01,29170,2.69,2391560.64
25581,2022-05-01,29200,11.44,10170800.64
25582,2022-05-01,30110,0.33,293388.48000000004
25583,2022-05-01,30140,1.69,1502504.64
25584,2022-05-01,30170,1.15,1022414.4
25585,2022-05-01,30200,6.59,5858879.040000001
25586,2022-05-01,30230,27.0,24004512.0
25587,2022-05-01,31110,9.21,8188205.76
25588,2022-05-01,31140,5.6,4978713.600000001
25589,2022-05-01,31200,142.28,126494887.67999998
25590,2022-05-01,31710,3.58,3182820.48
25591,2022-05-01,36110,-999.0,-999.0
25592,2022-05-01,41135,0.67,595667.5199999999
25593,2022-05-01,41150,0.47,417856.32
25594,2022-05-01,41171,0.7,622339.2000000001
25595,2022-05-01,41190,-999.0,-999.0
25596,2022-05-01,41210,3.2,2844979.2
25597,2022-05-01,41220,16.0,14224896.000000002
25598,2022-05-01,41250,1.09,969071.0400000002
25599,2022-05-01,41281,465.78,414104503.68
25600,2022-05-01,41310,2.39,2124843.840000001
25601,2022-05-01,41360,125.83,111869916.48
25602,2022-05-01,41370,2.61,2320436.16
25603,2022-05-01,41461,1.47,1306912.32
25604,2022-05-01,41480,-999.0,-999.0
25605,2022-05-01,41500,-999.0,-999.0
25606,2022-05-01,41550,-999.0,-999.0
25607,2022-05-01,41570,-999.0,-999.0
25608,2022-05-01,41590,1.91,1698096.96
25609,2022-05-01,41610,-999.0,-999.0
25610,2022-05-01,41650,5.5,4889808.0
25611,2022-05-01,41650,1.7,1511395.2
25612,2022-05-01,41670,-999.0,-999.0
25613,2022-05-01,41800,-999.0,-999.0
25614,2022-05-01,41820,-999.0,-999.0
25615,2022-05-01,41830,-999.0,-999.0
25616,2022-05-01,42110,80.23,71328962.88000001
25617,2022-05-01,42130,87.83,78085788.48
25618,2022-05-01,42150,0.17,151139.52000000002
25619,2022-05-01,42170,0.47,417856.32
25620,2022-05-01,42190,0.7,622339.2000000001
25621,2022-05-01,42190,0.7,622339.2000000001
25622,2022-05-01,42230,0.0,0.0
25623,2022-05-01,42230,1.29,1146882.2399999998
25624,2022-05-01,42230,-999.0,-999.0
25625,2022-05-01,42720,-999.0,-999.0
