ID,YMD,SGG_CD,FW,POWER
1,2022-01-01,11170,-999.0,-999.0
2,2022-01-01,11215,130.71,116208509.76000002
3,2022-01-01,11230,3.0,2667167.9999999995
4,2022-01-01,11350,-999.0,-999.0
5,2022-01-01,11470,3.3,2933884.8000000003
6,2022-01-01,11530,0.67,595667.5199999999
7,2022-01-01,11590,-999.0,-999.0
8,2022-01-01,11680,0.53,471199.68000000005
9,2022-01-01,11710,5.61,4987604.160000001
10,2022-01-01,26260,0.0,0.0
11,2022-01-01,26320,53.06,47173311.35999999
12,2022-01-01,27140,6.4,5689958.4
13,2022-01-01,27230,0.0,0.0
14,2022-01-01,27260,15.0,13335839.999999998
15,2022-01-01,27710,5.25,4667544.000000001
16,2022-01-01,28245,-999.0,-999.0
17,2022-01-01,28260,-999.0,-999.0
18,2022-01-01,29110,0.72,640120.32
19,2022-01-01,29140,0.72,640120.32
20,2022-01-01,29170,3.97,3529552.3200000003
21,2022-01-01,29200,13.18,11717758.080000002
22,2022-01-01,30110,0.07,62233.92000000003
23,2022-01-01,30140,0.77,684573.1200000001
24,2022-01-01,30170,0.42,373403.5200000001
25,2022-01-01,30200,1.13,1004633.28
26,2022-01-01,30230,14.85,13202481.6
27,2022-01-01,31110,6.74,5992237.439999999
28,2022-01-01,31140,2.76,2453794.56
29,2022-01-01,31200,136.29,121169442.24
30,2022-01-01,31710,0.53,471199.68000000005
31,2022-01-01,36110,-999.0,-999.0
32,2022-01-01,41135,0.41,364512.9599999999
33,2022-01-01,41150,0.66,586776.9600000001
34,2022-01-01,41171,-999.0,-999.0
35,2022-01-01,41190,-999.0,-999.0
36,2022-01-01,41210,2.76,2453794.56
37,2022-01-01,41220,12.28,10917607.680000002
38,2022-01-01,41250,1.56,1386927.36
39,2022-01-01,41281,437.13,388633049.28
40,2022-01-01,41310,2.52,2240421.12
41,2022-01-01,41360,135.52,120484869.12000002
42,2022-01-01,41370,2.21,1964813.76
43,2022-01-01,41461,1.18,1049086.0799999998
44,2022-01-01,41480,-999.0,-999.0
45,2022-01-01,41500,-999.0,-999.0
46,2022-01-01,41550,0.31,275607.36
47,2022-01-01,41570,-999.0,-999.0
48,2022-01-01,41590,2.5,2222640.0
49,2022-01-01,41610,-999.0,-999.0
50,2022-01-01,41650,-999.0,-999.0
51,2022-01-01,41650,-999.0,-999.0
52,2022-01-01,41670,-999.0,-999.0
53,2022-01-01,41800,-999.0,-999.0
54,2022-01-01,41820,-999.0,-999.0
55,2022-01-01,41830,-999.0,-999.0
56,2022-01-01,42110,68.06,60509151.36
57,2022-01-01,42130,243.1,216129513.6
58,2022-01-01,42150,-999.0,-999.0
59,2022-01-01,42170,0.29,257826.24
60,2022-01-01,42190,-999.0,-999.0
61,2022-01-01,42190,0.0,0.0
62,2022-01-01,42230,-999.0,-999.0
63,2022-01-01,42230,0.32,284497.92000000004
64,2022-01-01,42230,2.81,2498247.36
65,2022-01-01,42720,-999.0,-999.0
66,2022-01-01,42730,-999.0,-999.0
67,2022-01-01,42730,1.85,1644753.6
68,2022-01-01,42750,-999.0,-999.0
69,2022-01-01,42760,-999.0,-999.0
70,2022-01-01,42760,4.24,3769597.44
71,2022-01-01,42760,-999.0,-999.0
72,2022-01-01,42770,-999.0,-999.0
73,2022-01-01,42780,-999.0,-999.0
74,2022-01-01,42790,-999.0,-999.0
75,2022-01-01,42790,-999.0,-999.0
76,2022-01-01,42800,-999.0,-999.0
77,2022-01-01,42800,-999.0,-999.0
78,2022-01-01,42810,-999.0,-999.0
79,2022-01-01,42830,0.97,862384.3200000001
80,2022-01-01,43111,0.0,0.0
81,2022-01-01,43112,0.0,0.0
82,2022-01-01,43113,30.99,27551845.44
83,2022-01-01,43114,5.89,5236539.84
84,2022-01-01,43130,84.72,75320824.32
85,2022-01-01,43150,-999.0,-999.0
86,2022-01-01,43150,-999.0,-999.0
87,2022-01-01,43720,1.11,986852.1600000004
88,2022-01-01,43730,-999.0,-999.0
89,2022-01-01,43730,-999.0,-999.0
90,2022-01-01,43730,0.97,862384.3200000001
91,2022-01-01,43740,14.17,12597923.52
92,2022-01-01,43740,0.87,773478.7199999999
93,2022-01-01,43745,0.63,560105.28
94,2022-01-01,43750,-999.0,-999.0
95,2022-01-01,43760,3.45,3067243.2
96,2022-01-01,43770,-999.0,-999.0
97,2022-01-01,43800,-999.0,-999.0
98,2022-01-01,44131,0.65,577886.4
99,2022-01-01,44131,0.35,311169.60000000003
100,2022-01-01,44131,0.22,195592.32
101,2022-01-01,44150,-999.0,-999.0
102,2022-01-01,44180,15.62,13887054.72
103,2022-01-01,44180,0.37,328950.72
104,2022-01-01,44200,69.31,61620471.36000001
105,2022-01-01,44230,112.47,99992128.32
106,2022-01-01,44250,0.17,151139.52000000002
107,2022-01-01,44270,-999.0,-999.0
108,2022-01-01,44710,12.41,11033184.96
109,2022-01-01,44710,0.35,311169.60000000003
110,2022-01-01,44760,-999.0,-999.0
111,2022-01-01,44770,-999.0,-999.0
112,2022-01-01,44790,-999.0,-999.0
113,2022-01-01,44800,0.35,311169.60000000003
114,2022-01-01,44810,36.92,32823947.520000007
115,2022-01-01,44810,70.38,62571761.28
116,2022-01-01,45111,0.06,53343.35999999998
117,2022-01-01,45113,5.84,5192087.04
118,2022-01-01,45130,-999.0,-999.0
119,2022-01-01,45140,0.03,26671.67999999999
120,2022-01-01,45180,2.97,2640496.3200000003
121,2022-01-01,45180,0.0,0.0
122,2022-01-01,45190,8.85,7868145.599999999
123,2022-01-01,45190,7.69,6836840.64
124,2022-01-01,45210,0.0,0.0
125,2022-01-01,45210,0.0,0.0
126,2022-01-01,45710,1.94,1724768.64
127,2022-01-01,45720,9.46,8410469.760000002
128,2022-01-01,45720,0.0,0.0
129,2022-01-01,45730,10.03,8917231.68
130,2022-01-01,45730,1.18,1049086.0799999998
131,2022-01-01,45740,-999.0,-999.0
132,2022-01-01,45740,-999.0,-999.0
133,2022-01-01,45740,-999.0,-999.0
