YR,MM,DD,PCP,TMAX,TMIN,WDSP,RLTV_HMDT,SLRD
2011,1,1,0.1,2.77647058823529,-9.92592482983131,2.0,0.61,-99
2011,1,2,0.0,-3.44706149307919,-10.1009900990099,1.80385277831559,0.569351620947631,-99
2011,1,3,0.3,-1.69793135768436,-10.5157006603081,3.91576122121307,0.532214790040877,-99
2011,1,4,0.0,-2.0,-9.73914166501093,2.6109173137356,0.54,-99
2011,1,5,0.0,-1.6952022053756,-9.26942675159236,0.8,0.41,-99
2011,1,6,0.0,-2.87037418173836,-12.4937534066643,1.32608716222077,0.417230628152224,-99
2011,1,7,0.0,-3.44403600332804,-11.9458236272879,0.537712608845755,0.58,-99
2011,1,8,0.0,-3.66059776347001,-11.5568900126422,0.552366028616364,0.68,-99
2011,1,9,0.0,-4.58608321377331,-12.7426902431323,1.8,0.49,-99
2011,1,10,0.917597765363128,-5.33716264204545,-12.0,7.50871523966416,0.757996768982229,-99
2011,1,11,0.0,-3.51667397596702,-9.3,6.82265312457821,0.69,-99
2011,1,12,0.0,-3.66059776347001,-10.9555555555556,6.01434750885352,0.70303963366493,-99
2011,1,13,0.0,-4.98017184401851,-11.594816687737,2.36899825006606,1.0,-99
2011,1,14,0.0,-3.58245767915095,-11.2352112676056,0.8,0.918700642471174,-99
2011,1,15,0.0,-0.651418069223321,-9.36655163914222,2.6,0.571380651434128,-99
2011,1,16,0.0,2.65457122608079,-5.63722704823348,3.71790756543026,0.841282098546614,-99
2011,1,17,0.0,4.8919158312066,-4.38010059759536,3.69339987273783,0.63,-99
2011,1,18,0.0,0.592720778091429,-9.402923737477,4.40564437005829,0.429106889352818,-99
2011,1,19,0.0,-0.505169377201526,-8.76281538461538,0.5,0.543312634647066,-99
2011,1,20,0.0,2.06778252799,-5.72125543823442,0.569397752119375,0.62,-99
2011,1,21,0.0,0.760042289550341,-7.97117621433239,0.8867,0.707066161376914,-99
2011,1,22,0.0,0.319679693337231,-8.48575740601259,0.389311107599937,0.833061875774997,-99
2011,1,23,0.0,3.78463770767979,-6.57623403019745,0.0,0.793301989508068,-99
2011,1,24,0.0,7.53135340505778,-4.65072350452862,0.400860481199723,0.822012971516551,-99
2011,1,25,0.0,0.509239166789303,-10.5890682318415,2.72265101508073,0.371877088841223,-99
2011,1,26,0.0,2.06090666093515,-9.45812717235739,0.6,0.62,-99
2011,1,27,0.0,13.22,-7.81629562737643,2.33145693218133,0.47,-99
2011,1,28,0.0,-2.26496425524404,-10.8079401611047,3.5,0.45,-99
