YR,MM,DD,PCP,TMAX,TMIN,WDSP,RLTV_HMDT,SLRD
2011,1,1,0.0,-0.645130659794102,-9.21470272594843,0.8,0.280275325968852,-99
2011,1,2,0.0,-6.119362137014,-12.2678581551348,2.03304940175049,0.51,-99
2011,1,3,0.0,-4.62627177700348,-12.8314823389933,0.5,0.48,-99
2011,1,4,0.0,0.0153893770782923,-8.6437601637606,0.874043304413429,0.46,-99
2011,1,5,0.0,-3.98826176439809,-16.2785722536722,4.83506435630587,0.407117568062508,-99
2011,1,6,0.0,-9.91027179447012,-15.5538567367102,5.37522701633038,0.418846101099866,-99
2011,1,7,0.0,-7.04357348684818,-13.8483043864858,5.12748617357127,0.4,-99
2011,1,8,0.0,-2.68342283510797,-9.36824806913306,6.55461579132173,0.346651639239699,-99
2011,1,9,0.0,-1.08412495743956,-8.02884022372402,4.28446954440822,0.285174139804419,-99
2011,1,10,0.0,-0.48147093548163,-7.71809385225996,1.8,0.253592446139795,-99
2011,1,11,0.0,3.8148115039354,-5.97339106134463,0.3,0.329258670661413,-99
2011,1,12,0.0,4.69614902810816,-5.46479991637926,0.6,0.404041020632401,-99
2011,1,13,0.0,0.81624041936728,-7.30705951567236,2.5,0.271342194856936,-99
2011,1,14,0.0,0.873742277264047,-12.7457416205193,3.66607098180778,0.32755482463282,-99
2011,1,15,0.0,-9.05434929329178,-15.22312917167,5.0517573230668,0.357357780025245,-99
2011,1,16,0.0,-9.88934283700164,-15.4320782612739,4.95167855426319,0.392203249935517,-99
2011,1,17,0.0,-6.0484253002015,-15.141847397517,1.03945205080825,0.315890657555952,-99
2011,1,18,0.0,-4.288515660463,-11.3428800043833,0.8,0.307268554169142,-99
2011,1,19,0.0,-5.73419386046512,-13.9817967990361,3.23399732248857,0.345062661053706,-99
2011,1,20,0.0,-5.74362641860465,-13.7761611158159,1.0,0.324512760942761,-99
2011,1,21,0.0,-1.93779196286087,-10.4748542970823,0.0486674887883486,0.376771852967349,-99
2011,1,22,0.0,-0.851369013152451,-9.19947297191653,1.85881927285563,0.307165910081204,-99
2011,1,23,0.0,-1.30990782861362,-8.88435076898563,2.8,0.29958241579138,-99
2011,1,24,0.0,0.178920696198655,-7.9415464370949,0.889190345002884,0.230824488260893,-99
2011,1,25,0.0,1.41514806580703,-7.03964258198212,0.340867644007178,0.331956426873351,-99
2011,1,26,1.0,3.3956699848897,-4.83353767470875,4.44851606921541,0.52,-99
2011,1,27,5.79010809785701,4.03923231657824,-4.70372460384219,2.61284953693347,0.876482291322607,-99
2011,1,28,0.0,-0.264250181914401,-9.24900178992065,7.56871539802686,0.780807370184255,-99
2011,1,29,0.0,-1.69568489216735,-10.8889384993095,2.97507292608626,0.56,-99
2011,1,30,0.0,3.81986765568024,-8.74771325565615,0.44742375932674,0.61,-99
2011,1,31,0.0,3.50174530330564,-9.46973954987885,1.82500529474056,0.677419183889772,-99
2011,2,1,0.0,-2.09815036466499,-9.89371470008685,2.5,0.57,-99
2011,2,2,0.0,1.90025801552499,-7.8,0.9376,0.572979422866188,-99
2011,2,3,0.0,-3.37412242256126,-13.1832247373728,4.49255421791473,0.658918918918919,-99
2011,2,4,0.0,-3.19724674626496,-11.3370673502939,5.5849142343512,0.738658420551855,-99
2011,2,5,0.0,-1.57159943714822,-10.4409909646097,3.93393363156456,0.57,-99
2011,2,6,0.0,-0.38602543119728,-9.39176005367783,3.4,0.575536344819189,-99
2011,2,7,0.0,1.57369391745302,-8.0,3.3,0.55,-99
2011,2,8,0.0,2.7269275851225,-10.0091226147536,1.3,0.56,-99
2011,2,9,0.0,1.97161963483848,-9.35804168607247,3.8,0.649412568306011,-99
2011,2,10,0.0,-0.89988890946121,-8.82210716204294,4.50902402225272,0.6607,-99
2011,2,11,0.0,0.210554427142106,-8.78261766824955,2.95089829014121,0.563996113021378,-99
2011,2,12,0.0,0.248356277740165,-9.81341003432326,3.0,0.534065446478092,-99
2011,2,13,0.0,2.01321200108037,-8.81178204570163,0.9376,0.542063471993931,-99
2011,2,14,0.0,8.05949384221916,-5.12619253388419,1.5,0.536283971159179,-99
2011,2,15,0.0,6.0508957139038,-5.4505647417422,0.9376,0.562874869188219,-99
2011,2,16,0.0,0.699549788381935,-9.62152038723567,3.39211007576417,0.52,-99
2011,2,17,0.0,1.5442407255272,-9.0654293483831,0.9376,0.515628985042307,-99
2011,2,18,0.0,1.18915721628458,-9.72924074006991,1.3,0.5,-99
2011,2,19,0.0,-2.75609525098092,-10.0,5.58438990287384,0.49,-99
2011,2,20,0.0,-1.52234990619137,-10.041875708311,3.8,0.485092066678616,-99
2011,2,21,0.0,-0.446817343173431,-9.63610026533347,1.6,0.443687772925764,-99
2011,2,22,0.0,0.537227220535499,-7.65491506022949,3.26248138328774,0.42,-99
2011,2,23,0.0,0.760245131956113,-7.37897071137686,2.5,0.409750943396226,-99
2011,2,24,0.0,1.41722008944473,-6.83873377908867,0.913621580174043,0.40377358490566,-99
2011,2,25,0.0,3.0,-5.31084283534692,1.5,0.40857358490566,-99
2011,2,26,0.1,6.66556103227628,-3.44742269780249,0.405197721986043,0.492367429903748,-99
2011,2,27,2.0,3.83247696538245,-4.87469078997682,3.8,0.9488,-99
2011,2,28,0.0,1.99254277739612,-5.98157584696985,3.8,0.506904227277165,-99
2011,3,1,0.0,2.05137637028015,-7.12363241510783,1.5,0.49,-99
2011,3,2,0.0,3.8,-4.69333519651311,1.44976953291373,0.68479618386817,-99
2011,3,3,0.0,5.43710024722865,-4.57537988434599,1.8,0.51,-99
2011,3,4,0.0,7.0,-2.87712677757628,2.1499678318679,0.49,-99
2011,3,5,0.0,10.3064656119112,-0.180549711121725,1.02309101516919,0.553801381946486,-99
