ID,YMD,SGG_CD,FW,POWER
1,2022-11-01,42760,-999.0,-999.0
2,2022-11-01,42190,0.2,177811.2
3,2022-11-01,42230,0.0,0.0
4,2022-11-01,42770,-999.0,-999.0
5,2022-11-01,42730,1.39,1235787.84
6,2022-11-01,42750,0.56,497871.3600000002
7,2022-11-01,43800,-999.0,-999.0
8,2022-11-01,43150,0.0,0.0
9,2022-11-01,43760,7.66,6810168.960000001
10,2022-11-01,43130,64.24,57112957.44
11,2022-11-01,42130,129.04,114723786.24
12,2022-11-01,43770,-999.0,-999.0
13,2022-11-01,41500,-999.0,-999.0
14,2022-11-01,41670,-999.0,-999.0
15,2022-11-01,41830,-999.0,-999.0
16,2022-11-01,42790,0.0,0.0
17,2022-11-01,42800,-999.0,-999.0
18,2022-11-01,42810,0.0,0.0
19,2022-11-01,42110,121.38,107913617.28
20,2022-11-01,42720,-999.0,-999.0
21,2022-11-01,41820,-999.0,-999.0
22,2022-11-01,41461,2.66,2364888.9600000004
23,2022-11-01,41610,-999.0,-999.0
24,2022-11-01,41360,190.71,169551869.76000002
25,2022-11-01,41310,4.12,3662910.72
26,2022-11-01,11215,166.05,147627748.8
27,2022-11-01,41135,3.48,3093914.8799999994
28,2022-11-01,11710,7.86,6987980.16
29,2022-11-01,11680,0.56,497871.3600000002
30,2022-11-01,41150,0.89,791259.8400000001
31,2022-11-01,11350,-999.0,-999.0
32,2022-11-01,11230,3.76,3342850.56
33,2022-11-01,11170,-999.0,-999.0
34,2022-11-01,11590,-999.0,-999.0
35,2022-11-01,41171,1.18,1049086.0799999998
36,2022-11-01,41210,3.76,3342850.56
37,2022-11-01,11530,1.11,986852.1600000004
38,2022-11-01,11470,3.63,3227273.28
39,2022-11-01,41190,-999.0,-999.0
40,2022-11-01,41281,469.78,417660727.68
41,2022-11-01,28245,-999.0,-999.0
42,2022-11-01,41570,-999.0,-999.0
43,2022-11-01,42780,0.0,0.0
44,2022-11-01,41650,13.7,12180067.2
45,2022-11-01,41250,1.45,1289131.2
46,2022-11-01,41800,-999.0,-999.0
47,2022-11-01,41480,0.0,0.0
48,2022-11-01,41590,1.93,1715878.0799999998
49,2022-11-01,41550,0.92,817931.5200000001
50,2022-11-01,41370,3.13,2782745.28
51,2022-11-01,41220,21.17,18821315.52
52,2022-11-01,28260,-999.0,-999.0
53,2022-11-01,42830,6.32,5618833.920000001
54,2022-11-01,42150,2.21,1964813.76
55,2022-11-01,42170,1.12,995742.7200000004
56,2022-11-01,47113,-999.0,-999.0
57,2022-11-01,47750,0.0,0.0
58,2022-11-01,47760,0.0,0.0
59,2022-11-01,47170,0.0,0.0
60,2022-11-01,47920,0.63,560105.28
61,2022-11-01,47210,3.26,2898322.56
62,2022-11-01,47280,240.42,213746843.51999995
63,2022-11-01,47900,46.29,41154402.24
64,2022-11-01,47250,46.5,41341103.99999999
