ID,YMD,SGG_CD,FW,POWER
19171,2022-04-01,11170,-999.0,-999.0
19172,2022-04-01,11215,207.34,184336871.04
19173,2022-04-01,11230,3.97,3529552.3200000003
19174,2022-04-01,11350,-999.0,-999.0
19175,2022-04-01,11470,4.45,3956299.2
19176,2022-04-01,11530,0.54,480090.2400000001
19177,2022-04-01,11590,-999.0,-999.0
19178,2022-04-01,11680,0.46,408965.76000000007
19179,2022-04-01,11710,5.7,5067619.2
19180,2022-04-01,26260,0.0,0.0
19181,2022-04-01,26320,241.1,214351401.6
19182,2022-04-01,27140,9.29,8259330.239999999
19183,2022-04-01,27230,0.0,0.0
19184,2022-04-01,27260,14.27,12686829.12
19185,2022-04-01,27710,855.21,760329581.7599999
19186,2022-04-01,28245,-999.0,-999.0
19187,2022-04-01,28260,-999.0,-999.0
19188,2022-04-01,29110,0.77,684573.1200000001
19189,2022-04-01,29140,0.87,773478.7199999999
19190,2022-04-01,29170,8.45,7512523.2
19191,2022-04-01,29200,15.71,13967069.760000002
19192,2022-04-01,30110,0.28,248935.6800000001
19193,2022-04-01,30140,2.29,2035938.24
19194,2022-04-01,30170,1.31,1164663.36
19195,2022-04-01,30200,2.59,2302655.04
19196,2022-04-01,30230,13.58,12073380.48
19197,2022-04-01,31110,7.15,6356750.4
19198,2022-04-01,31140,2.6,2311545.6
19199,2022-04-01,31200,136.29,121169442.24
19200,2022-04-01,31710,2.21,1964813.76
19201,2022-04-01,36110,-999.0,-999.0
19202,2022-04-01,41135,0.6,533433.6
19203,2022-04-01,41150,0.77,684573.1200000001
19204,2022-04-01,41171,0.71,631229.76
19205,2022-04-01,41190,-999.0,-999.0
19206,2022-04-01,41210,3.36,2987228.1600000006
19207,2022-04-01,41220,17.77,15798525.120000005
19208,2022-04-01,41250,2.08,1849236.480000001
19209,2022-04-01,41281,713.84,634643735.04
19210,2022-04-01,41310,3.35,2978337.6
19211,2022-04-01,41360,242.17,215302691.52000004
19212,2022-04-01,41370,3.4,3022790.4
19213,2022-04-01,41461,2.74,2436013.44
19214,2022-04-01,41480,-999.0,-999.0
19215,2022-04-01,41500,-999.0,-999.0
19216,2022-04-01,41550,-999.0,-999.0
19217,2022-04-01,41570,-999.0,-999.0
19218,2022-04-01,41590,2.19,1947032.64
19219,2022-04-01,41610,-999.0,-999.0
19220,2022-04-01,41650,21.1,18759081.6
19221,2022-04-01,41650,6.44,5725520.64
19222,2022-04-01,41670,-999.0,-999.0
19223,2022-04-01,41800,-999.0,-999.0
19224,2022-04-01,41820,-999.0,-999.0
19225,2022-04-01,41830,-999.0,-999.0
19226,2022-04-01,42110,96.92,86167307.52
19227,2022-04-01,42130,88.14,78361395.84
19228,2022-04-01,42150,0.76,675682.56
19229,2022-04-01,42170,0.17,151139.52000000002
19230,2022-04-01,42190,0.2,177811.2
19231,2022-04-01,42190,0.0,0.0
