ID,YMD,SGG_CD,FW,POWER
51760,2022-09-01,11170,-999.0,-999.0
51761,2022-09-01,11215,1584.78,1408958167.68
51762,2022-09-01,11230,6.87,6107814.720000001
51763,2022-09-01,11350,-999.0,-999.0
51764,2022-09-01,11470,9.81,8721639.36
51765,2022-09-01,11530,1.8,1600300.7999999998
51766,2022-09-01,11590,-999.0,-999.0
51767,2022-09-01,11680,1.73,1538066.8800000004
51768,2022-09-01,11710,13.51,12011146.559999997
51769,2022-09-01,26260,0.0,0.0
51770,2022-09-01,26320,813.37,723131478.72
51771,2022-09-01,27140,38.89,34575387.84
51772,2022-09-01,27230,0.76,675682.56
51773,2022-09-01,27260,41.21,36637997.760000005
51774,2022-09-01,27710,821.4,730270598.4000001
51775,2022-09-01,28245,-999.0,-999.0
51776,2022-09-01,28260,-999.0,-999.0
51777,2022-09-01,29110,0.76,675682.56
51778,2022-09-01,29140,0.07,62233.92000000003
51779,2022-09-01,29170,9.32,8286001.92
51780,2022-09-01,29200,11.92,10597547.52
51781,2022-09-01,30110,1.42,1262459.52
51782,2022-09-01,30140,5.35,4756449.6
51783,2022-09-01,30170,2.05,1822564.8
51784,2022-09-01,30200,55.01,48906970.56
51785,2022-09-01,30230,-999.0,-999.0
51786,2022-09-01,31110,20.09,17861135.04
51787,2022-09-01,31140,13.42,11931131.52
51788,2022-09-01,31200,169.21,150437165.76000002
51789,2022-09-01,31710,10.13,9006137.280000001
51790,2022-09-01,36110,-999.0,-999.0
51791,2022-09-01,41135,6.08,5405460.48
51792,2022-09-01,41150,1.91,1698096.96
51793,2022-09-01,41171,2.32,2062609.92
51794,2022-09-01,41190,-999.0,-999.0
51795,2022-09-01,41210,5.17,4596419.52
51796,2022-09-01,41220,109.74,97565005.44
51797,2022-09-01,41250,3.16,2809416.9600000004
51798,2022-09-01,41281,1944.28,1728573799.6799998
51799,2022-09-01,41310,9.38,8339345.280000001
51800,2022-09-01,41360,1622.21,1442235533.76
51801,2022-09-01,41370,4.93,4383046.08
51802,2022-09-01,41461,9.4,8357126.4
51803,2022-09-01,41480,0.0,0.0
51804,2022-09-01,41500,1.25,1111320.0
51805,2022-09-01,41550,15.6,13869273.599999996
51806,2022-09-01,41570,-999.0,-999.0
51807,2022-09-01,41590,3.85,3422865.6
51808,2022-09-01,41610,-999.0,-999.0
51809,2022-09-01,41650,29.6,26316057.6
51810,2022-09-01,41650,13.36,11877788.159999998
51811,2022-09-01,41670,-999.0,-999.0
51812,2022-09-01,41800,-999.0,-999.0
51813,2022-09-01,41820,-999.0,-999.0
51814,2022-09-01,41830,-999.0,-999.0
51815,2022-09-01,42110,168.54,149841498.23999998
51816,2022-09-01,42130,1073.18,954117118.08
51817,2022-09-01,42150,18.54,16483098.24
51818,2022-09-01,42170,6.86,6098924.159999999
51819,2022-09-01,42190,12.2,10846483.2
51820,2022-09-01,42190,0.0,0.0
51821,2022-09-01,42230,0.0,0.0
51822,2022-09-01,42230,3.34,2969447.04
51823,2022-09-01,42230,56.89,50578395.84
51824,2022-09-01,42720,-999.0,-999.0
51825,2022-09-01,42730,14.86,13211372.160000002
51826,2022-09-01,42730,34.76,30903586.56
51827,2022-09-01,42750,47.61,42327956.16
51828,2022-09-01,42760,-999.0,-999.0
51829,2022-09-01,42760,66.59,59202239.04000001
51830,2022-09-01,42760,-999.0,-999.0
51831,2022-09-01,42770,-999.0,-999.0
51832,2022-09-01,42780,0.0,0.0
51833,2022-09-01,42790,0.0,0.0
51834,2022-09-01,42790,-999.0,-999.0
51835,2022-09-01,42800,-999.0,-999.0
51836,2022-09-01,42800,-999.0,-999.0
51837,2022-09-01,42810,0.0,0.0
51838,2022-09-01,42830,24.25,21559608.0
51839,2022-09-01,43111,0.0,0.0
51840,2022-09-01,43112,0.0,0.0
51841,2022-09-01,43113,110.69,98409608.64
51842,2022-09-01,43114,51.41,45706368.96
51843,2022-09-01,43130,1002.6,891367545.6000001
51844,2022-09-01,43150,0.0,0.0
51845,2022-09-01,43150,-999.0,-999.0
51846,2022-09-01,43720,15.37,13664790.72
51847,2022-09-01,43730,53.0,47119968.0
51848,2022-09-01,43730,29.1,25871529.6
51849,2022-09-01,43730,4.26,3787378.56
51850,2022-09-01,43740,27.94,24840224.64
51851,2022-09-01,43740,23.1,20537193.6
51852,2022-09-01,43745,6.43,5716630.08
51853,2022-09-01,43750,-999.0,-999.0
51854,2022-09-01,43760,69.75,62011656.0
51855,2022-09-01,43770,-999.0,-999.0
51856,2022-09-01,43800,0.0,0.0
51857,2022-09-01,44131,10.05,8935012.8
51858,2022-09-01,44131,-999.0,-999.0
51859,2022-09-01,44131,1.87,1662534.72
51860,2022-09-01,44150,-999.0,-999.0
51861,2022-09-01,44180,0.37,328950.72
51862,2022-09-01,44180,-999.0,-999.0
51863,2022-09-01,44200,41.09,36531311.04000001
51864,2022-09-01,44230,175.99,156464965.44
51865,2022-09-01,44250,5.03,4471951.68
51866,2022-09-01,44270,-999.0,-999.0
51867,2022-09-01,44710,16.81,14945031.36
51868,2022-09-01,44710,3.19,2836088.64
51869,2022-09-01,44760,-999.0,-999.0
51870,2022-09-01,44770,-999.0,-999.0
51871,2022-09-01,44790,-999.0,-999.0
51872,2022-09-01,44800,1.74,1546957.4399999997
51873,2022-09-01,44810,90.73,80664050.88000001
51874,2022-09-01,44810,74.36,66110204.16
51875,2022-09-01,45111,1.14,1013523.84
51876,2022-09-01,45113,14.19,12615704.64
51877,2022-09-01,45130,-999.0,-999.0
51878,2022-09-01,45140,2.51,2231530.56
51879,2022-09-01,45180,63.96,56864021.76000001
51880,2022-09-01,45180,0.0,0.0
51881,2022-09-01,45190,10.93,9717382.08
51882,2022-09-01,45190,16.22,14420488.319999997
51883,2022-09-01,45210,0.0,0.0
51884,2022-09-01,45210,0.0,0.0
51885,2022-09-01,45710,6.56,5832207.359999999
