ID,YMD,SGG_CD,FW,POWER
38554,2022-07-01,11170,-999.0,-999.0
38555,2022-07-01,11215,5357.06,4762726335.36
38556,2022-07-01,11230,106.55,94728916.8
38557,2022-07-01,11350,-999.0,-999.0
38558,2022-07-01,11470,90.78,80708503.68
38559,2022-07-01,11530,6.19,5503256.640000001
38560,2022-07-01,11590,-999.0,-999.0
38561,2022-07-01,11680,19.32,17176561.92
38562,2022-07-01,11710,67.35,59877921.6
38563,2022-07-01,26260,0.0,0.0
38564,2022-07-01,26320,266.09,236568911.03999996
38565,2022-07-01,27140,18.4,16358630.400000002
38566,2022-07-01,27230,0.33,293388.48000000004
38567,2022-07-01,27260,20.27,18021165.12
38568,2022-07-01,27710,954.29,848417250.2399998
38569,2022-07-01,28245,-999.0,-999.0
38570,2022-07-01,28260,-999.0,-999.0
38571,2022-07-01,29110,0.31,275607.36
38572,2022-07-01,29140,0.7,622339.2000000001
38573,2022-07-01,29170,7.74,6881293.44
38574,2022-07-01,29200,15.79,14038194.239999998
38575,2022-07-01,30110,0.21,186701.76000000004
38576,2022-07-01,30140,1.73,1538066.8800000004
38577,2022-07-01,30170,0.22,195592.32
38578,2022-07-01,30200,5.5,4889808.0
38579,2022-07-01,30230,20.22,17976712.32
38580,2022-07-01,31110,6.56,5832207.359999999
38581,2022-07-01,31140,8.09,7192463.040000001
38582,2022-07-01,31200,139.7,124201123.2
38583,2022-07-01,31710,6.25,5556600.0
38584,2022-07-01,36110,-999.0,-999.0
38585,2022-07-01,41135,24.03,21364015.68
38586,2022-07-01,41150,45.98,40878794.87999999
38587,2022-07-01,41171,21.07,18732409.92
38588,2022-07-01,41190,-999.0,-999.0
38589,2022-07-01,41210,20.13,17896697.28
38590,2022-07-01,41220,266.37,236817846.72000003
38591,2022-07-01,41250,109.9,97707254.4
38592,2022-07-01,41281,6329.33,5627128812.48
38593,2022-07-01,41310,118.21,105095309.76000002
38594,2022-07-01,41360,4574.8,4067253388.8
38595,2022-07-01,41370,89.18,79286014.08000001
38596,2022-07-01,41461,46.05,40941028.8
38597,2022-07-01,41480,2093.55,1861283188.8
